ds,y
2025-11-30 18:00:07.022866,0.0
2025-11-30 18:03:20.193189,0.0
2025-11-30 18:06:33.433804,0.0
2025-11-30 18:09:46.626906,0.0
2025-11-30 18:12:59.733991,0.0
2025-11-30 18:20:21.695182,0.0
2025-11-30 18:23:34.907857,0.0
2025-11-30 18:26:48.087751,0.0
2025-11-30 18:30:01.159702,18.18
2025-11-30 18:33:14.394990,16.67
2025-11-30 18:36:27.514222,18.52
2025-11-30 18:39:41.645922,24.07
2025-11-30 18:42:55.191822,25.45
2025-11-30 18:46:08.507484,27.27
2025-11-30 18:49:21.707050,29.63
2025-11-30 18:52:35.247702,27.78
2025-11-30 18:55:48.315085,25.93
2025-11-30 18:59:01.554391,29.63
2025-11-30 19:02:14.843873,25.93
2025-11-30 19:05:28.458815,21.82
2025-11-30 19:08:41.783698,23.64
2025-11-30 19:11:55.049783,24.07
2025-11-30 19:15:08.381996,25.45
2025-11-30 19:18:21.620501,25.93
2025-11-30 19:21:34.964228,25.93
2025-11-30 19:24:48.290386,27.78
2025-11-30 19:28:01.561004,23.64
2025-11-30 19:31:14.713101,25.93
2025-11-30 19:34:27.897260,22.22
2025-11-30 19:37:41.101377,25.93
2025-11-30 19:40:54.392674,25.45
2025-11-30 19:44:07.599479,20.0
2025-11-30 19:47:20.781781,16.67
2025-11-30 19:50:34.027041,0.0
2025-11-30 19:53:47.285519,0.0
2025-11-30 19:57:00.368592,0.0
2025-11-30 20:00:13.481549,18.18
2025-11-30 20:03:26.620990,0.0
2025-11-30 20:06:39.779193,0.0
2025-11-30 20:09:52.911391,0.0
2025-11-30 20:13:06.041510,0.0
2025-11-30 20:16:19.277063,0.0
2025-11-30 20:19:32.464529,0.0
2025-11-30 20:22:45.866623,0.0
2025-11-30 20:25:58.985970,14.55
2025-11-30 20:29:12.291789,0.0
2025-11-30 20:32:25.473519,0.0
2025-11-30 20:35:38.664713,16.36
2025-11-30 20:38:51.879262,12.96
2025-11-30 20:42:05.080148,0.0
2025-11-30 20:45:18.354696,0.0
2025-11-30 20:48:31.541676,0.0
2025-11-30 20:51:44.699621,0.0
2025-11-30 20:54:57.930691,0.0
2025-11-30 20:58:11.183990,0.0
2025-11-30 21:01:24.433423,0.0
2025-11-30 21:04:37.531965,0.0
2025-11-30 21:07:50.670733,0.0
2025-11-30 21:11:03.781885,0.0
2025-11-30 21:14:17.016071,0.0
